model,fpr,tpr
base,0.0,0.0
base,0.0,0.021739130434782608
base,0.0,0.13043478260869565
base,0.037037037037037035,0.13043478260869565
base,0.037037037037037035,0.1956521739130435
base,0.07407407407407407,0.1956521739130435
base,0.07407407407407407,0.30434782608695654
base,0.1111111111111111,0.30434782608695654
base,0.1111111111111111,0.41304347826086957
base,0.14814814814814814,0.41304347826086957
base,0.14814814814814814,0.45652173913043476
base,0.18518518518518517,0.45652173913043476
base,0.18518518518518517,0.5217391304347826
base,0.2222222222222222,0.5217391304347826
base,0.2222222222222222,0.5869565217391305
base,0.25925925925925924,0.5869565217391305
base,0.25925925925925924,0.6739130434782609
base,0.37037037037037035,0.6739130434782609
base,0.37037037037037035,0.6956521739130435
base,0.5185185185185185,0.6956521739130435
base,0.5185185185185185,0.782608695652174
base,0.5555555555555556,0.782608695652174
base,0.5555555555555556,0.8260869565217391
base,0.6666666666666666,0.8260869565217391
base,0.6666666666666666,0.8478260869565217
base,0.7037037037037037,0.8478260869565217
base,0.7037037037037037,0.8913043478260869
base,0.8148148148148148,0.8913043478260869
base,0.8148148148148148,0.9130434782608695
base,0.8888888888888888,0.9130434782608695
base,0.8888888888888888,0.9782608695652174
base,1.0,0.9782608695652174
base,1.0,1.0
elo,0.0,0.0
elo,0.0,0.021739130434782608
elo,0.0,0.13043478260869565
elo,0.037037037037037035,0.13043478260869565
elo,0.037037037037037035,0.1956521739130435
elo,0.07407407407407407,0.1956521739130435
elo,0.07407407407407407,0.2826086956521739
elo,0.1111111111111111,0.2826086956521739
elo,0.1111111111111111,0.43478260869565216
elo,0.18518518518518517,0.43478260869565216
elo,0.18518518518518517,0.5217391304347826
elo,0.2222222222222222,0.5217391304347826
elo,0.2222222222222222,0.5869565217391305
elo,0.25925925925925924,0.5869565217391305
elo,0.25925925925925924,0.6521739130434783
elo,0.2962962962962963,0.6521739130434783
elo,0.2962962962962963,0.6739130434782609
elo,0.4074074074074074,0.6739130434782609
elo,0.4074074074074074,0.6956521739130435
elo,0.4444444444444444,0.6956521739130435
elo,0.4444444444444444,0.717391304347826
elo,0.5185185185185185,0.717391304347826
elo,0.5185185185185185,0.7391304347826086
elo,0.5555555555555556,0.7391304347826086
elo,0.5555555555555556,0.7608695652173914
elo,0.5925925925925926,0.7608695652173914
elo,0.5925925925925926,0.8260869565217391
elo,0.7037037037037037,0.8260869565217391
elo,0.7037037037037037,0.8695652173913043
elo,0.8518518518518519,0.8695652173913043
elo,0.8518518518518519,0.9130434782608695
elo,0.8888888888888888,0.9130434782608695
elo,0.8888888888888888,0.9782608695652174
elo,1.0,0.9782608695652174
elo,1.0,1.0
