fold,n_train,n_test,auc_lr,auc_gbt,auc_elo
2016,2312,112,0.836682615629984,0.8272727272727274,0.8338118022328549
2017,2424,98,0.9048811013767208,0.9069670421360033,0.870671672924489
2018,2522,112,0.7978316326530612,0.8153698979591836,0.8156887755102041
2019,2634,156,0.9101973684210526,0.8884868421052632,0.8424342105263157
