model,accuracy,precision,recall,roc_auc,brier_score
Logistic regression,0.6842105263157895,0.7027027027027027,0.7878787878787878,0.7702020202020201,0.19566935403347666
Logistic regression + Elo,0.7017543859649122,0.7,0.8484848484848485,0.7676767676767677,0.19747531944427105
