feature,coefficient,odds_ratio
cat__tournament_1996 Tri Nations Series,-0.1659528825289021,0.8470861458061175
cat__opponent_Ireland,-0.1661942757734287,0.8468816896111527
cat__tournament_2009 end-of-year test,-0.18163900827109322,0.8339023179267585
cat__tournament_2009 end of year rugby union tests,-0.18332680872979965,0.8324960443005153
cat__tournament_1996 New Zealand tour,-0.18842910247029623,0.8282592228899427
cat__tournament_2011 Tri Nations Series,-0.20381307250922906,0.8156148177699415
cat__tournament_2000 Summer International,-0.2118251335141783,0.8091061707494158
num__elo_diff_pre,-0.21541814531253567,0.8062042591549958
cat__tournament_2016 Ireland rugby union tour of South Africa,-0.2185304355768337,0.803699018029195
cat__tournament_2000 Tri Nations Series,-0.2245490510923446,0.7988763899792772
cat__tournament_1992 South Africa rugby union tour of France and England,-0.22479280363934562,0.7986816855552945
cat__tournament_2001 France rugby union tour,-0.23766971985491897,0.7884630617882066
cat__tournament_2002 end-of-year rugby union internationals,-0.23782610195917647,0.7883397699160474
num__days_since_prev,-0.24548573015768294,0.7823244473613635
cat__tournament_2012 England rugby union tour of South Africa,-0.24623748323796227,0.7817365535514594
cat__tournament_2003 Tri Nations Series,-0.252915543350001,0.7765334624691903
cat__tournament_2011 Rugby World Cup Quarter-final,-0.2558484364622306,0.7742593093798269
cat__tournament_1999 Rugby World Cup Semi-final,-0.25875243565369843,0.7720141225596011
cat__tournament_1994 South Africa tour,-0.2632807294899947,0.7685261190794641
cat__tournament_2003 Rugby World Cup Pool C,-0.2820754648813576,0.7542167655066953
cat__tournament_2005 Autumn International,-0.28625390947954277,0.7510718874619808
cat__tournament_2002 Tri Nations Series,-0.29510537108218704,0.7444531394999617
cat__tournament_2016 Autumn International,-0.30129478907463236,0.7398596380583647
cat__tournament_1994 England rugby union tour of South Africa,-0.308400362217282,0.7346211445747297
cat__tournament_1999 Tri Nations Series,-0.33752841536277856,0.7135316991563497
cat__tournament_2008 Tri Nations Series,-0.3444459654010283,0.7086128407630481
cat__tournament_2000 England rugby union tour of South Africa,-0.36655744667609036,0.6931163181102298
cat__tournament_2006 end-of-year test,-0.38847143196598716,0.6780925933754505
cat__tournament_2004 Autumn International,-0.3911911519813913,0.6762508769886555
cat__tournament_2002 Autumn International,-0.3945871459082596,0.6739582282313737
cat__tournament_2005 France rugby union tour,-0.3973829623539994,0.6720765963075435
cat__tournament_2000 Autumn International,-0.3991378851534852,0.670898188075853
cat__tournament_1992 New Zealand tour,-0.431899422694381,0.6492746756987814
cat__tournament_2001 Tri Nations Series,-0.4340139663108226,0.6479032066045946
cat__tournament_1995 Rugby World Cup Pool match,-0.4352378495293781,0.6471107337887929
cat__tournament_2007 Tri Nations Series,-0.5283048534255492,0.5896035875391039
cat__tournament_2016 Rugby Championship,-0.5875135300996563,0.5557073178373162
cat__tournament_2001 Autumn International,-0.6023736422834283,0.5475104984175623
cat__opponent_France,-0.6173359582035501,0.5393794546846404
cat__tournament_2006 mid-year test,-0.6174310997690268,0.5393281397200675
cat__tournament_1992 Australia tour of South Africa,-0.649180155335098,0.522473948699185
cat__tournament_2010 Tri Nations Series,-0.6807646885646634,0.5062297362289038
cat__tournament_2002 South Africa rugby union tour of Europe,-0.6810848611708491,0.5060676812790889
cat__tournament_2012 Rugby Championship,-0.7426355133907026,0.475858130953193
cat__opponent_Australia,-0.8731037197907668,0.41765325684299426
cat__tournament_1993 France rugby union tour of South Africa,-0.9001127217276416,0.4065238330890247
cat__tournament_2016 end-of-year test,-0.9991258712242845,0.3682011557664717
cat__tournament_2015 Rugby Championship,-1.1368711764298816,0.3208212461839377
cat__opponent_New Zealand,-1.6948739190361384,0.18362237885482355
